Season,name,position,team,total_points,bps,clean_sheets,bonus,influence,ict_index,minutes,goals_scored,threat,assists,creativity,value,selected
2021-22,Nélson Cabral Semedo,DEF,Wolves,9,29,1,3,17.6,5.1,90,0,12.0,0,21.8,4.9,205262
2021-22,Romain Saïss,DEF,Wolves,6,27,1,0,16.4,2.1,90,0,3.0,0,1.4,5.0,95745
2021-22,Craig Cathcart,DEF,Watford,1,8,0,0,4.8,0.5,90,0,0.0,0,0.2,4.4,8739
2021-22,Max Kilman,DEF,Wolves,6,28,1,1,29.4,4.2,90,0,0.0,0,12.2,4.5,40035
2021-22,Matthew Lowton,DEF,Burnley,5,23,1,0,22.4,3.2,90,0,8.0,0,1.7,4.4,146091
2021-22,William Troost-Ekong,DEF,Watford,0,2,0,0,3.0,0.5,90,0,2.0,0,0.1,4.4,9646
2021-22,Tariq Lamptey,DEF,Brighton,4,19,0,0,26.2,4.2,20,0,0.0,1,15.3,4.4,107428
2021-22,Conor Coady,DEF,Wolves,6,26,1,0,11.8,1.2,90,0,0.0,0,0.3,4.5,519005
2021-22,Marc Cucurella,DEF,Brighton,2,11,0,0,14.8,4.2,90,0,9.0,0,18.5,5.0,100747
2021-22,Lewis Dunk,DEF,Brighton,2,11,0,0,24.4,4.7,90,0,21.0,0,1.7,5.0,382885
2021-22,Timothy Castagne,DEF,Leicester,1,8,0,0,15.8,1.7,90,0,0.0,0,1.6,5.3,53117
2021-22,Lyanco Evangelista Silveira Neves Vojnovic,DEF,Southampton,1,3,0,0,0.0,0.0,5,0,0.0,0,0.0,4.4,1824
2021-22,Thiago Emiliano da Silva,DEF,Chelsea,1,7,0,0,8.6,0.9,45,0,0.0,0,0.6,5.5,387958
2021-22,Craig Dawson,DEF,West Ham,2,7,0,0,4.8,1.1,90,0,6.0,0,0.1,4.9,22192
2021-22,Kurt Zouma,DEF,West Ham,2,8,0,0,11.0,3.1,90,0,20.0,0,0.1,5.4,159363
2021-22,Çaglar Söyüncü,DEF,Leicester,1,12,0,0,8.8,0.9,90,0,0.0,0,0.6,4.9,179442
2021-22,Mohammed Salisu,DEF,Southampton,1,15,0,0,23.8,5.4,90,0,30.0,0,0.6,4.5,22569
2021-22,Marcos Alonso,DEF,Chelsea,1,9,0,0,20.2,3.0,90,0,4.0,0,5.4,5.6,924809
2021-22,Jonny Evans,DEF,Leicester,7,28,0,0,60.0,7.7,90,1,17.0,0,0.3,5.4,17929
2021-22,Tino Livramento,DEF,Southampton,1,12,0,0,12.2,1.8,90,0,2.0,0,4.0,4.6,1930641
2021-22,Charlie Taylor,DEF,Burnley,9,29,1,3,22.6,2.9,90,0,1.0,0,5.2,4.4,28039
2021-22,Ben Johnson,DEF,West Ham,2,8,0,0,16.0,1.8,90,0,0.0,0,1.9,4.0,406284
2021-22,Vladimir Coufal,DEF,West Ham,2,12,0,0,19.0,8.6,90,0,33.0,0,34.3,4.7,333203
2021-22,César Azpilicueta,DEF,Chelsea,2,10,0,0,8.2,1.3,68,0,3.0,0,2.2,5.8,334745
2021-22,Adam Masina,DEF,Watford,1,3,0,0,0.2,0.1,11,0,0.0,0,0.3,4.3,6428
2021-22,Liam Cooper,DEF,Leeds,12,36,1,3,32.8,5.2,90,0,18.0,1,0.7,4.5,38241
2021-22,Tyrick Mitchell,DEF,Crystal Palace,2,12,0,0,27.6,3.9,90,0,10.0,0,1.7,4.5,105629
2021-22,James Tomkins,DEF,Crystal Palace,2,8,0,0,15.8,1.8,90,0,2.0,0,0.0,4.3,8158
2021-22,Pascal Struijk,DEF,Leeds,0,0,0,0,2.8,0.4,45,0,0.0,0,1.3,4.4,15559
2021-22,Marc Guéhi,DEF,Crystal Palace,1,2,0,0,5.6,0.6,90,0,0.0,0,0.6,4.5,111126
2021-22,Joel Ward,DEF,Crystal Palace,1,7,0,0,10.4,2.1,90,0,0.0,0,10.8,4.5,25508
2021-22,Diego Llorente,DEF,Leeds,7,25,1,1,12.6,1.3,90,0,0.0,0,0.4,4.5,48558
2021-22,Charlie Cresswell,DEF,Leeds,1,3,0,0,0.0,0.0,1,0,0.0,0,0.0,4.0,36769
2021-22,Cheikhou Kouyaté,DEF,Crystal Palace,2,14,0,0,11.4,1.4,90,0,2.0,0,0.2,4.5,64913
2021-22,Héctor Junior Firpo Adames,DEF,Leeds,0,4,0,0,7.4,2.6,45,0,6.0,0,12.6,4.7,28025
2021-22,Grant Hanley,DEF,Norwich,2,13,0,0,7.4,1.6,90,0,8.0,0,0.9,4.4,16814
2021-22,Max Aarons,DEF,Norwich,2,16,0,0,19.6,5.7,90,0,2.0,0,35.7,4.3,106874
2021-22,Federico Fernández,DEF,Newcastle,5,19,0,0,19.2,3.7,79,0,18.0,1,0.0,4.3,11465
2021-22,Jamal Lewis,DEF,Newcastle,2,6,0,0,9.8,1.1,90,0,0.0,0,0.8,4.2,8003
2021-22,Fabian Schär,DEF,Newcastle,2,13,0,0,19.6,2.0,90,0,0.0,0,0.3,4.3,15034
2021-22,Ciaran Clark,DEF,Newcastle,-2,-7,0,0,0.0,0.0,8,0,2.0,0,0.2,4.4,13301
2021-22,Brandon Williams,DEF,Norwich,3,20,0,1,17.4,4.8,72,0,0.0,0,30.2,3.9,442875
2021-22,Dimitris Giannoulis,DEF,Norwich,4,12,0,0,22.4,4.2,17,0,4.0,1,15.7,4.4,6002
2021-22,Javier Manquillo,DEF,Newcastle,2,6,0,0,4.2,0.8,90,0,2.0,0,1.3,4.0,690916
2021-22,Ben Gibson,DEF,Norwich,2,15,0,0,21.8,2.6,90,0,0.0,0,3.9,4.4,6430
2021-22,Marcos Alonso,DEF,Chelsea,2,17,0,0,12.8,5.6,77,0,4.0,0,39.0,5.6,769347
2021-22,Trevoh Chalobah,DEF,Chelsea,2,13,0,0,12.6,1.9,90,0,2.0,0,4.4,4.8,385160
2021-22,Antonio Rüdiger,DEF,Chelsea,2,11,0,0,7.4,2.7,90,0,17.0,0,2.6,5.9,1703662
2021-22,Victor Lindelöf,DEF,Man Utd,2,13,0,0,26.2,2.6,90,0,0.0,0,0.1,4.8,39843
2021-22,Alex Nicolao Telles,DEF,Man Utd,2,10,0,0,13.2,1.5,90,0,0.0,0,1.3,5.0,6387
2021-22,Aaron Wan-Bissaka,DEF,Man Utd,2,13,0,0,29.8,3.1,90,0,0.0,0,1.0,5.2,360737
2021-22,Thiago Emiliano da Silva,DEF,Chelsea,8,29,0,3,18.8,4.0,90,0,20.0,1,1.6,5.5,336183
2021-22,Reece James,DEF,Chelsea,1,7,0,0,4.6,3.7,90,0,13.0,0,19.2,6.2,2905652
2021-22,Eric Bailly,DEF,Man Utd,1,5,0,0,13.8,1.4,90,0,0.0,0,0.0,4.9,10658
2021-22,Çaglar Söyüncü,DEF,Leicester,1,12,0,0,19.2,3.4,90,0,4.0,0,10.3,4.9,180194
2021-22,Ethan Pinnock,DEF,Brentford,6,25,1,0,15.6,3.7,90,0,21.0,0,0.4,4.6,486330
2021-22,Ben Johnson,DEF,West Ham,1,12,0,0,19.4,3.6,90,0,0.0,0,16.3,4.0,381168
2021-22,Vladimir Coufal,DEF,West Ham,1,6,0,0,5.8,1.7,29,0,0.0,0,11.0,4.7,344122
2021-22,Charlie Goode,DEF,Brentford,6,24,1,0,10.2,2.0,90,0,0.0,0,10.2,3.9,157174
2021-22,Francisco Femenía Far,DEF,Watford,0,13,0,0,13.0,2.8,90,0,0.0,0,14.9,4.3,5712
2021-22,Arthur Masuaku,DEF,West Ham,2,13,0,0,7.8,1.0,73,0,0.0,0,1.8,4.4,3953
2021-22,João Pedro Cavaco Cancelo,DEF,Man City,1,18,0,0,25.6,8.0,90,0,26.0,0,28.3,6.6,3062560
2021-22,Pontus Jansson,DEF,Brentford,5,22,1,0,7.2,0.9,90,0,2.0,0,0.0,4.7,750390
2021-22,Rico Henry,DEF,Brentford,6,18,1,0,3.4,0.4,76,0,0.0,0,0.9,4.5,139709
2021-22,Aymeric Laporte,DEF,Man City,1,11,0,0,11.8,1.8,90,0,4.0,0,2.2,5.5,270101
2021-22,Luke Thomas,DEF,Leicester,1,22,0,0,19.2,3.9,90,0,2.0,0,17.7,4.3,46984
