Season,name,position,team,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
,Harvey Barnes,MID,,2,10,12.4,0,8.2,0,43.0,74,26.1,0,65,0,229932
,Chris Wood,FWD,,1,1,0.4,0,1.7,0,6.0,58,10.5,0,67,0,109554
,Hakim Ziyech,MID,,6,22,41.0,1,7.7,1,34.0,30,1.5,0,73,0,39335
,Jamie Vardy,FWD,,2,6,3.6,0,4.5,0,18.0,90,23.6,0,106,0,2406342
,Pablo Fornals,MID,,6,20,22.0,0,5.5,0,8.0,76,24.8,1,60,1,195799
,Ademola Lookman,MID,,1,3,2.8,0,1.8,0,4.0,60,10.8,0,60,0,9575
,Nathan Redmond,MID,,5,21,24.2,0,7.8,0,20.0,90,33.5,1,59,0,19084
,Wilfred Ndidi,MID,,4,10,7.8,0,2.9,0,20.0,90,0.9,1,48,0,80905
,Dwight McNeil,MID,,3,5,18.6,0,5.0,0,25.0,90,6.3,0,58,1,16045
,Aaron Lennon,MID,,1,3,0.0,0,0.0,0,0.0,5,0.0,0,49,0,1330
,Yves Bissouma,MID,,2,16,16.2,0,3.7,0,4.0,90,16.5,0,44,0,860555
,Kiernan Dewsbury-Hall,MID,,0,3,4.2,0,2.9,0,20.0,45,5.1,0,45,0,3512
,Jay Rodriguez,FWD,,0,0,0.4,0,1.4,0,3.0,31,10.4,0,53,0,41101
,Adam Armstrong,FWD,,2,10,12.6,0,5.5,0,11.0,73,31.5,0,60,0,348189
,Michail Antonio,FWD,,1,1,6.4,0,5.5,0,27.0,90,21.7,0,81,0,3775385
,Tom Cleverley,MID,,1,9,16.0,0,6.6,0,24.0,84,25.8,0,48,0,9774
,Kai Havertz,MID,,5,20,32.8,0,8.5,0,25.0,90,26.7,1,80,0,406292
,Nathan Tella,MID,,2,7,7.6,0,5.2,0,29.0,64,15.5,0,47,0,4596
,Mateusz Klich,MID,,1,5,2.2,0,0.3,0,0.0,45,0.6,0,54,0,35538
,Jeffrey Schlupp,MID,,3,11,23.2,0,2.8,0,1.0,79,3.3,0,54,1,3656
,Michael Olise,MID,,1,3,0.0,0,0.0,0,0.0,1,0.0,0,54,0,7012
,Adam Forshaw,MID,,2,5,10.4,0,3.4,0,19.0,90,4.2,0,45,1,2372
,Will Hughes,MID,,1,1,1.4,0,0.2,0,0.0,10,0.5,0,47,0,3888
,Stuart Dallas,MID,,2,9,26.2,0,6.3,0,18.0,90,19.1,0,51,1,392857
,Rodrigo Moreno,FWD,,1,-2,3.2,0,5.5,0,40.0,45,11.7,0,63,0,151817
,Wilfried Zaha,MID,,2,1,8.8,0,7.1,0,29.0,90,33.0,0,70,0,682256
,Daniel James,MID,,3,8,8.2,0,7.7,0,56.0,90,13.1,0,60,1,59753
,Jordan Ayew,FWD,,2,6,14.0,0,4.4,0,12.0,89,17.7,0,58,1,45216
,Christian Benteke,FWD,,1,0,1.0,0,2.7,0,25.0,22,1.2,0,64,0,299405
,Raphael Dias Belloli,MID,,8,23,43.0,1,8.7,0,27.0,90,16.8,0,67,1,1748678
,Conor Gallagher,MID,,1,7,12.2,0,4.9,0,28.0,90,8.6,0,61,0,2538755
,Kalvin Phillips,MID,,3,13,15.2,0,4.0,0,12.0,90,12.3,0,48,1,125820
,Odsonne Edouard,FWD,,2,6,7.0,0,0.9,0,0.0,67,2.1,0,65,1,196732
,Tyler Roberts,MID,,2,3,5.6,0,3.4,0,7.0,90,21.0,0,48,1,5151
,Callum Wilson,FWD,,9,37,49.2,1,10.3,3,21.0,90,32.3,0,74,0,331315
,Jonjo Shelvey,MID,,2,13,7.0,0,2.6,0,1.0,90,18.2,0,53,0,6550
,Miguel Almirón,MID,,1,4,2.2,0,0.2,0,0.0,13,0.1,0,52,0,22697
,Christos Tzolis,MID,,1,7,11.0,0,9.2,0,66.0,45,14.8,0,48,0,4077
,Lukas Rupp,MID,,2,18,10.2,0,5.9,0,20.0,90,28.7,0,44,0,33213
,Joshua Sargent,FWD,,2,11,7.4,0,3.6,0,27.0,66,1.7,0,54,0,12106
,Teemu Pukki,FWD,,8,24,31.2,1,7.4,2,31.0,90,11.4,0,58,0,467840
,Adam Idah,FWD,,1,1,0.0,0,0.4,0,5.0,23,0.7,0,49,0,37178
,Kenny McLean,MID,,2,7,10.0,0,3.2,0,9.0,90,13.1,0,49,0,6135
,Joseph Willock,MID,,3,5,4.0,0,1.6,0,0.0,72,12.1,0,57,1,50149
,Isaac Hayden,MID,,1,1,0.0,0,0.1,0,4.0,17,0.0,0,45,0,37901
,Ryan Fraser,MID,,1,1,0.0,0,1.0,0,8.0,10,4.0,0,53,0,9454
,Pierre Lees-Melou,MID,,1,3,10.2,0,3.9,0,26.0,45,3.0,0,48,0,5612
,Billy Gilmour,MID,,2,9,12.0,0,6.3,0,7.0,90,44.0,0,44,0,419836
,Allan Saint-Maximin,FWD,,2,8,5.6,0,4.4,0,6.0,76,32.1,0,69,1,1605023
,Joelinton Cássio Apolinário de Lira,FWD,,2,2,2.8,0,1.0,0,4.0,90,3.3,0,58,0,38099
,Donny van de Beek,MID,,1,4,2.0,0,0.2,0,0.0,1,0.0,0,57,0,24305
,Cristiano Ronaldo dos Santos Aveiro,FWD,,0,-2,0.4,0,0.3,0,2.0,26,0.9,0,124,0,2514042
,Mason Mount,MID,,1,3,2.4,0,1.4,0,0.0,12,11.8,0,75,0,1171202
,Romelu Lukaku,FWD,,1,4,3.0,0,1.8,0,4.0,8,10.5,0,115,0,777302
,Marcus Rashford,MID,,1,1,0.8,0,0.9,0,6.0,76,2.6,0,94,0,66986
,Nemanja Matic,MID,,2,16,12.8,0,1.3,0,0.0,90,0.6,0,45,0,28361
,Hakim Ziyech,MID,,2,13,12.4,0,11.5,0,65.0,90,37.3,0,73,0,35644
,Timo Werner,FWD,,2,3,0.0,0,8.1,0,82.0,81,1.3,0,86,0,120120
,Christian Pulisic,MID,,1,4,5.8,0,2.8,0,6.0,12,16.1,0,79,0,56767
,Frederico Rodrigues de Paula Santos,MID,,2,18,20.0,0,3.4,0,11.0,90,2.8,0,49,0,35282
,Scott McTominay,MID,,1,5,20.8,0,2.2,0,0.0,90,1.6,0,54,0,22082
,Ruben Loftus-Cheek,MID,,2,10,4.8,0,2.5,0,16.0,90,3.8,0,54,0,14306
,Jadon Sancho,MID,,9,25,36.2,1,6.7,1,17.0,63,13.3,0,89,1,156577
,Bruno Miguel Borges Fernandes,MID,,1,2,4.0,0,1.0,0,1.0,88,4.6,0,116,0,1484449
,Jorge Luiz Frello Filho,MID,,8,26,41.4,1,7.6,2,19.0,90,15.2,0,58,0,377099
,Jesse Lingard,MID,,1,1,0.0,0,0.0,0,0.0,13,0.0,0,68,0,91083
,Callum Hudson-Odoi,MID,,2,8,22.6,0,11.4,0,40.0,77,51.8,0,53,0,74382
,Ashley Fletcher,FWD,,1,2,4.0,0,0.8,0,3.0,19,0.5,0,49,0,20770
,Gabriel Fernando de Jesus,FWD,,2,4,8.0,0,10.1,0,67.0,90,25.9,0,87,0,840436
,Tom Cleverley,MID,,1,10,14.8,0,7.4,0,2.0,45,57.0,0,48,0,9713
,Sergi Canós,MID,,2,2,3.4,0,0.8,0,4.0,86,1.0,0,55,1,183325
,Shandon Baptiste,MID,,1,7,4.6,0,1.5,0,0.0,20,10.4,0,49,0,1988
,Frank Onyeka,MID,,5,13,4.4,0,1.0,0,4.0,90,2.0,1,49,1,7230
,Riyad Mahrez,MID,,5,19,10.6,0,8.4,0,29.0,90,44.8,1,86,0,206214
,Kiernan Dewsbury-Hall,MID,,1,4,0.0,0,0.0,0,0.0,2,0.0,0,45,0,3490
,Anthony Gordon,MID,,2,7,1.8,0,4.4,0,36.0,90,5.7,0,45,0,8106
,Allan Marques Loureiro,MID,,2,11,22.2,0,3.9,0,2.0,90,14.3,0,45,0,488324
,Vitaly Janelt,MID,,3,8,18.0,0,3.2,0,2.0,90,11.6,0,50,1,12709
,Andros Townsend,MID,,1,9,5.6,0,5.4,0,2.0,69,46.4,0,56,0,848110
,Pablo Fornals,MID,,2,16,13.0,0,2.6,0,0.0,90,13.4,0,60,0,187089
,Jamie Vardy,FWD,,12,51,74.4,2,15.0,2,74.0,90,1.6,0,106,0,2222380
,Marc Albrighton,MID,,1,4,5.0,0,0.6,0,0.0,15,0.5,0,52,0,10696
,Salomón Rondón,FWD,,1,0,8.6,0,10.2,0,82.0,90,11.3,0,60,0,14228
,Ademola Lookman,MID,,7,28,37.6,1,9.9,0,45.0,74,16.3,0,60,0,5870
,Abdoulaye Doucouré,MID,,2,9,1.4,0,3.3,0,26.0,90,5.1,0,54,0,139030
,Bryan Mbeumo,MID,,2,3,10.2,0,3.3,0,21.0,90,1.9,0,56,1,340443
,Rodrigo Hernandez,MID,,2,15,16.0,0,2.1,0,0.0,90,4.8,0,55,0,89375
,Fernando Luiz Rosa,MID,,8,23,33.0,1,5.0,2,17.0,3,0.0,0,48,0,29080
,Boubakary Soumaré,MID,,2,12,19.0,0,3.2,0,0.0,90,12.9,0,48,0,11222
,Emmanuel Dennis,FWD,,10,37,42.6,1,12.5,1,60.0,70,22.3,1,53,0,932344
,Christian Nørgaard,MID,,3,20,22.8,0,2.3,0,0.0,69,0.4,0,50,1,82063
,Joshua King,FWD,,6,19,33.8,1,9.6,0,60.0,90,2.3,0,56,0,387704
,Declan Rice,MID,,2,20,18.0,0,3.4,0,13.0,90,3.1,0,50,0,503568
,Ilkay Gündogan,MID,,13,39,70.8,1,19.4,3,70.0,90,53.3,1,72,0,251300
,Saïd Benrahma,MID,,1,5,4.4,0,2.3,0,17.0,58,1.1,0,63,0,2261773
,Demarai Gray,MID,,1,4,6.4,0,2.5,0,11.0,20,7.3,0,56,0,917733
,Moussa Sissoko,MID,,2,9,4.2,0,2.6,0,8.0,90,13.4,0,45,0,217080
,Manuel Lanzini,MID,,7,21,38.0,1,4.9,1,9.0,31,2.3,0,58,0,10268
,Yoane Wissa,MID,,1,6,6.0,0,1.9,0,13.0,3,0.0,0,59,0,4153
,Raheem Sterling,MID,,3,12,0.0,0,3.8,0,12.0,86,26.3,0,106,1,109195
,Alex Iwobi,MID,,2,10,13.0,0,5.9,0,38.0,90,7.5,0,58,0,15414
