Season,name,position,team,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
2021-22,Gabriel Fernando de Jesus,FWD,Man City,5,23,24.8,0,10.6,0,65.0,86,15.9,1,87,0,810500
2021-22,Richarlison de Andrade,FWD,Everton,5,16,23.6,0,4.8,0,13.0,90,11.3,1,74,0,331869
2021-22,Alex Oxlade-Chamberlain,MID,Liverpool,1,2,0.4,0,0.1,0,0.0,7,0.7,0,58,0,13479
2021-22,Sadio Mané,MID,Liverpool,2,5,7.8,0,7.5,0,53.0,90,14.0,0,120,0,428080
2021-22,Salomón Rondón,FWD,Everton,1,8,8.2,0,0.9,0,0.0,58,0.8,0,60,0,13723
2021-22,Takumi Minamino,MID,Liverpool,1,3,0.2,0,0.0,0,0.0,2,0.1,0,51,0,5539
2021-22,Emiliano Buendía Stati,MID,Aston Villa,2,15,4.0,0,4.8,0,28.0,90,15.8,0,62,0,88018
2021-22,John McGinn,MID,Aston Villa,2,15,21.8,0,5.4,0,0.0,90,32.1,0,58,0,104599
2021-22,Jordan Henderson,MID,Liverpool,13,42,55.0,1,9.9,3,19.0,82,24.8,1,50,0,157293
2021-22,Andros Townsend,MID,Everton,1,2,0.6,0,2.8,0,12.0,72,15.7,0,55,0,757271
2021-22,Demarai Gray,MID,Everton,6,20,33.6,1,9.0,0,42.0,84,14.7,0,56,0,813585
2021-22,Marvelous Nakamba,MID,Aston Villa,2,9,13.6,0,1.5,0,0.0,76,0.9,0,45,0,18277
2021-22,Rodrigo Hernandez,MID,Man City,2,12,15.2,0,4.5,0,23.0,90,6.4,0,55,0,102029
2021-22,Bernardo Mota Veiga de Carvalho e Silva,MID,Man City,10,31,39.8,1,8.7,3,27.0,90,19.8,0,73,0,1117185
2021-22,Douglas Luiz Soares de Paulo,MID,Aston Villa,5,26,39.6,0,10.6,0,0.0,90,66.6,1,45,0,192530
2021-22,Saïd Benrahma,MID,West Ham,3,10,9.8,0,2.5,0,3.0,75,12.4,0,62,1,2145518
2021-22,Patson Daka,FWD,Leicester,1,2,0.0,0,0.0,0,0.0,15,0.3,0,71,0,73607
2021-22,Juraj Kucka,MID,Watford,1,4,4.2,0,2.0,0,15.0,17,0.3,0,55,0,4443
2021-22,Maxwel Cornet,MID,Burnley,3,2,0.0,0,1.3,0,4.0,84,10.2,0,61,1,252284
2021-22,Raúl Jiménez,FWD,Wolves,2,-1,0.0,0,3.5,0,23.0,90,13.2,0,78,1,1203893
2021-22,Boubakary Soumaré,MID,Leicester,1,5,4.8,0,0.8,0,2.0,45,1.1,0,48,0,12989
2021-22,Emmanuel Dennis,FWD,Watford,9,36,45.0,1,9.6,3,23.0,90,27.5,0,53,0,993333
2021-22,Leandro Trossard,MID,Brighton,2,9,8.6,0,3.5,0,12.0,90,14.1,0,65,0,267051
2021-22,Jakub Moder,MID,Brighton,2,9,26.2,0,6.2,0,19.0,90,16.3,0,45,0,59908
2021-22,Declan Rice,MID,West Ham,2,18,21.6,0,4.9,0,11.0,90,16.4,0,51,0,527016
2021-22,James Ward-Prowse,MID,Southampton,2,21,22.8,0,7.0,0,6.0,90,41.3,0,63,0,174927
2021-22,Joshua King,FWD,Watford,2,4,0.8,0,2.6,0,8.0,90,17.1,0,57,0,435514
2021-22,Adama Traoré,MID,Wolves,3,17,9.6,0,6.4,0,22.0,90,32.1,0,57,1,138029
2021-22,Armando Broja,FWD,Southampton,1,0,0.2,0,0.3,0,2.0,25,0.8,0,50,0,148284
2021-22,Che Adams,FWD,Southampton,9,30,40.4,1,11.3,3,71.0,90,1.6,0,68,0,94675
2021-22,Matej Vydra,FWD,Burnley,1,3,0.0,0,0.1,0,2.0,18,0.3,0,52,0,29849
